CountryName,OfficialName,Code,ISO3Code,UNCode,UNICEFCode,MDGRegion1,MDGRegion1excl,MDGRegion3,MDGRegion4,MDGRegion5,MDGRegion6,UNICEFProgRegion1,UNICEFProgRegion2,MENAEMRORegion,ECACountries,WHORegion1,WBRegion1,WBRegion2,WBRegion3,WBRegion4,WBRegion5,UNPDRegion1,UNPDRegion2,UNPDRegion4,UNPDRegion5,OICRegion1,OICRegion2,OICRegion3,OICRegion4,Countdown.and.COIA.75.Priority.Countries,ECAAfrica,AURegion1,AURegion2,AURECRegion1,AURECRegion2,AURECRegion3,AURECRegion4,AURECRegion5,AURECRegion6,FragileCountries2013,FragileCountries2014,FragileCountries2015,FragileCountries2017,FragileCountries2018,FragileCountries2018OECD1,FragileCountries2018OECD2,FragileCountries2019,FragileCountries2022OECD1,FragileCountries2022OECD2,FCSCountries1,FCSCountries2,USAIDcountry,M49Region1,M49Region2,M49Region3,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion3,SDGSimpleRegion4,SDGSimpleRegion5,SDGSimpleRegion6,SDGRegion1,SDGRegion2,SDGRegion3,SDGRegion4,SDGRegion5,SDGRegion6,HAC2020,HAC2019,GlobalStrategy,Conflict,UNICEFReportRegion1,UNICEFReportRegion2,Wealthdata1,Wealthdata2,Wealthdata3,WealthdataGlobal,Wealthall1,Wealthall2,Wealthall3,WealthallGlobal,UNRegion,AfricanEconomicCommunity,GAVICountries,SPhumanitarian,SPhighburden,JHUFragile2021,LiST_UNICEFProg,LiST_UNICEFRep,LiST_all,ListSBRESCAP,ListSBR,EAPRORegion1,EAPRORegion2,EAPRORegion3,EAPRORegion4,EAPRORegion5,EAPRORegion6,EAPRORegion7,EAPRORegion8,EAPRORegion9,EECA,SDGRCRegion1,SDGRCRegion2,SDGRCRegion3,SDGRCRegion4,SDGRCRegion5,SDGRCRegion6,SDGRCRegion7,SDGRCRegion8,SDGRCRegion9,SDGRCRegion10,SDGRCRegion11,SDGRCRegion12,SDGRCRegion13,SDGRCRegion14,SDGRCRegion15,SDGRCRegion16,SDGRCRegion17,SDGRCRegion18,SDGRCRegion19,SDGRCRegion20,SDGRCRegion21,SDGRCRegion22,SDGRCRegion23,SDGRCRegion24,SDGRCRegion25,SDGRCRegion26,SDGRCRegion27,SDGRCRegion28,SDGRCRegion29,SDGRCRegion30,SDGRCRegion31,SDGRCRegion32,SDGRCRegion33,UNICEFReportRegion
Austria,Austria,168,AUT,40,ATR,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Western Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Western Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Western European and Others Group (WEOG),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Azerbaijan,Azerbaijan,138,AZE,31,AZE,Caucasus and Central Asia,Caucasus and Central Asia,"","","",LLDC,Europe and Central Asia,Programme countries,"","",Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Asia,"",Excluding least developed countries,Excluding China,OIC,Asia/other,OIC Upper middle income,OIC Middle income,Countdown,"","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Asia,Western Asia,"",Northern Africa and Western Asia,Western Asia,"",Landlocked developing countries,"","",Northern Africa and Western Asia,Asia,Western Asia,Caucasus and Central Asia,"",Landlocked developing countries (LLDCs),"","","",Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,"",GAVI,Non-humanitarian,Non-high burden,"",Europe and Central Asia,Eastern Europe and Central Asia,LiST,LiSTSBR,LiSTSBR,"","","","","","","","","",EECA,"",ECE_All countries,"ECE_Eastern Europe, Caucasus and Central Asia (CIS)",ECE_CIS (CWG),"","","",ESCAP_ECO (ECO),"",ESCAP_LLDC (LLDC_E),ESCAP_North and Central Asia (NCA),ESCAP_All countries,"","","","","","","","","","","","","",ESCAP_Countries with Special Needs,"",ESCAP_WB Upper Middle Income Economies,"","","","","",Eastern Europe and Central Asia
Burundi,Burundi,2,BDI,108,BRD,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Least developed countries,"",LLDC,Eastern and Southern Africa,Programme countries,"","",Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Least developed countries,Excluding China,"","","","",Countdown,Eastern Africa,Africa,Central Africa,East African Community (EAC),Common Market for Eastern and Southern Africa (COMESA),"",Economic Community of Central African States (ECCAS),"","",Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Extremely Fragile,Fragile,Fragile,Extremely fragile,Fragile and Conflict-affected Situation,Institutional and Social Fragility,"",Africa,Eastern Africa,"",Sub-Saharan Africa,"",Least developed countries,Landlocked developing countries,"","",Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa (inc. Sudan),Least Developed Countries (LDCs),Landlocked developing countries (LLDCs),"","",Global Strategy,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,Economic Community of Central African States,GAVI,Non-humanitarian,High burden,Fragile,Eastern and Southern Africa,Eastern and Southern Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_Eastern Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,ECA_ECCAS,"",ECA_EAC,ECA_COMESA,ECA_Land-locked countries,ECA_Land-locked LDCs,ECA_Non-Oil Producing,ECA_Least developed countries,"",ECA_Non-Oil LDCs,"",ECA_Sub-Saharan Africa,"","","","","","","","",Eastern and Southern Africa
Belgium,Belgium,170,BEL,56,BEL,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Western Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Western Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Western European and Others Group (WEOG),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Benin,Benin,23,BEN,204,BEN,Sub-Saharan Africa,Sub-Saharan Africa,West Africa,Least developed countries,"","",West and Central Africa,Programme countries,"","",Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Least developed countries,Excluding China,OIC,Africa,OIC Low income,"",Countdown,West Africa,Africa,Western Africa,"","",Community of Sahel-Saharan States (CEN-SAD),"",Economic Community of West African States (ECOWAS),Economic Community of West African States (ECOWAS) 202502,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Fragile,Other fragile,non-FCS,"","",Africa,Western Africa,"",Sub-Saharan Africa,"",Least developed countries,"","","",Sub-Saharan Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa (inc. Sudan),Least Developed Countries (LDCs),"","","",Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,African Group,Economic Community of West African States,GAVI,Non-humanitarian,High burden,"",West and Central Africa,West and Central Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_West Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,ECA_ECOWAS,"",ECA_CEN-SAD,"","","",ECA_Non-Oil Producing,ECA_Least developed countries,ECA_Mineral-rich countries,ECA_Non-Oil LDCs,"",ECA_Sub-Saharan Africa,"","","","","","","","",West and Central Africa
Burkina Faso,Burkina Faso,24,BFA,854,UPV,Sub-Saharan Africa,Sub-Saharan Africa,West Africa,Least developed countries,"",LLDC,West and Central Africa,Programme countries,"","",Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Least developed countries,Excluding China,OIC,Africa,OIC Low income,"",Countdown,West Africa,Africa,Western Africa,"","",Community of Sahel-Saharan States (CEN-SAD),"",Economic Community of West African States (ECOWAS),"",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Fragile,Fragile,Other fragile,Fragile and Conflict-affected Situation,Conflict,"",Africa,Western Africa,"",Sub-Saharan Africa,"",Least developed countries,Landlocked developing countries,"","",Sub-Saharan Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa (inc. Sudan),Least Developed Countries (LDCs),Landlocked developing countries (LLDCs),"","",Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,African Group,Economic Community of West African States,GAVI,Humanitarian,High burden,Fragile,West and Central Africa,West and Central Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_West Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,ECA_ECOWAS,"",ECA_CEN-SAD,ECA_Sahel,ECA_Land-locked countries,ECA_Land-locked LDCs,ECA_Non-Oil Producing,ECA_Least developed countries,ECA_Mineral-rich countries,ECA_Non-Oil LDCs,"",ECA_Sub-Saharan Africa,"","","","","","","","",West and Central Africa
Bangladesh,Bangladesh,68,BGD,50,BAN,Southern Asia,Southern Asia excluding India,"",Least developed countries,"","",South Asia,Programme countries,"","",South-East Asia,South Asia,South Asia (excluding high-income),Middle income,Lower middle income,Low and middle income,Asia,"",Least developed countries,Excluding China,OIC,Asia/other,OIC Low income,"",Countdown,"","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,Fragile,Other fragile,non-FCS,"",USAID,Asia,Southern Asia,"",Central and Southern Asia,Southern Asia,Least developed countries,"","","",Central and Southern Asia,Asia,Southern Asia,Southern Asia,Least Developed Countries (LDCs),"",HAC,"",Global Strategy,Non conflict,South Asia,"",South Asia,"",Lower middle income,Low and middle income,South Asia,"",Lower middle income,Low and middle income,Asia-Pacific Group,"",GAVI,Non-humanitarian,High burden,"",South Asia,South Asia,LiST,LiSTSBR,LiSTSBR,"","","","","","","","","","","","","","","","",ESCAP_SAARC (SAARC),"",ESCAP_LDC (LDC_E),"",ESCAP_South and South-West Asia (SSWA),ESCAP_All countries,"","","","","","","","","","","","","",ESCAP_Countries with Special Needs,"",ESCAP_WB Lower Middle Income Economies,"","","","","",South Asia
Bulgaria,Bulgaria,149,BGR,100,BUL,"","","","","","",Europe and Central Asia,Programme countries,"","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Europe,Eastern Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Eastern Europe,"","","",HAC,HAC,"",Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,"","","","","","","","",Eastern European Group,"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","",EECA,"",ECE_All countries,ECE_European Union (E25),"","","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Eastern Europe and Central Asia
Bahrain,Bahrain,51,BHR,48,BRN,Western Asia,Western Asia,"","","",SIDS,Middle East and North Africa,Programme countries,MENAEMRO,"",Eastern Mediterranean,"Middle East, North Africa, Afghanistan and Pakistan","",High income,High income,"",Asia,"",Excluding least developed countries,Excluding China,OIC,Arab,OIC High income: nonOECD,OIC High income,"","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Asia,Western Asia,"",Northern Africa and Western Asia,Western Asia,"","","","",Northern Africa and Western Asia,Asia,Western Asia,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","","","","","",Non conflict,Middle East and North Africa,"","","","","","","","","",Asia-Pacific Group,"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","","","","","","","","","","","",ESCAP_Other Area (OTH_REGION),"","","","","","","","","","","","","","","","",ESCWA_Arab countries,ESCWA_Gulf Cooperation Council (GCC),"","",ESCWA_Arab High-Income Countries (HICs),Middle East and North Africa
Bahamas,Bahamas,107,BHS,44,BAH,Latin America and the Caribbean,Latin America and the Caribbean,"","",Caribbean,SIDS,Non-programme countries,"","","",Americas,Latin America and the Caribbean,"",High income,High income,"",Latin America and the Caribbean,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,"","",Small island developing States,"","",Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,"",Small island developing States (SIDS),"","","",Non conflict,Latin America and Caribbean,"","","","","","","","","",Latin American and Caribbean Group (GRULAC),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECLAC_All countries,"","","",ECLAC_Carribean,"","","","","",ESCAP_Latin America (LAC),"","","","","","","","","","","","","","","","","","","","","",Latin America and Caribbean
